date,source_type,page,section,brand,offer,product_type
2026-06-01,页面,首页,THE SUMMER EDIT ☀️,EVERYDAY UPGRADES 🛒 Myprotein,Up to 80% off + Extra 20% off for New Customers 💪,Other
2026-06-01,页面,首页,EVERYDAY UPGRADES 🛒,Myprotein,Up to 80% off + Extra 20% off for New Customers 💪,Other
2026-06-01,页面,首页,EVERYDAY UPGRADES 🛒,Download on the App Store,Get the free app!,Other
2026-06-01,页面,Travel & Entertainment,,Macdonald Hotel & Resorts,20% off stays with Macdonald Hotel & Resorts 🌿 From relaxing spa breaks in Bath to vibrant Manchester city stays and Lake District escapes. Get now,Hotels / Accommodation
2026-06-01,页面,Travel & Entertainment,,Emirates,Up to 10% off economy and business class with Emirates ✈️ Save 10% in Economy or 5% in Business when you book your next trip. Get now,Flights
2026-06-01,页面,Travel & Entertainment,,Omio,Save 5% on Flights with Omio ✈️ Get there for less – book your flight now and save 5% with Omio. Get now,Flights
2026-06-01,页面,Travel & Entertainment,,Macdonald Hotel & Resorts,20% off stays with Macdonald Hotel & Resorts 🌿,Hotels / Accommodation
2026-06-01,页面,Travel & Entertainment,,Emirates,Up to 10% off economy and business class with Emirates ✈️,Flights
2026-06-01,页面,Travel & Entertainment,,Omio,Save 5% on Flights with Omio ✈️,Flights
2026-06-01,页面,Travel & Entertainment,,Omio,Get there for less – book your flight now and save 5% with Omio.,Flights
2026-06-01,页面,Travel & Entertainment,,Emirates,Save 10% in Economy or 5% in Business when you book your next trip.,Flights
2026-06-01,页面,Travel & Entertainment,,Every Playoffs moment,ad-free with Premium,Other
2026-06-01,页面,Travel & Entertainment,,Save 25% on Day Tickets Plus Pay for a Day,Visit FREE for 12 months! Enjoy a whole year of free visits to Twycross Zoo for the price of just one day. Get now,Tours & Tickets
2026-06-01,页面,Travel & Entertainment,,Save 25% on Day Tickets Plus Pay for a Day,Visit FREE for 12 months!,Tours & Tickets
2026-06-01,页面,Travel & Entertainment,,Virgin Atlantic,Up to £60 off Virgin Atlantic flights ✈️ Make your next adventure happen without breaking the bank. Get now,Flights
2026-06-01,页面,Travel & Entertainment,,Virgin Atlantic,Up to £60 off Virgin Atlantic flights ✈️,Flights
2026-06-01,页面,Travel & Entertainment,Holidays & Hotels,Klook,Up to 15% Off Travel Deals,Other
2026-06-01,页面,Travel & Entertainment,Holidays & Hotels,Flexiroam,20% Off Travel Data Plans,Other
2026-06-01,页面,Travel & Entertainment,Holidays & Hotels,Fever,10% Off,Other
2026-06-01,页面,Travel & Entertainment,Holidays & Hotels,OYO Hotels,Save 40% + Extra 10% When You Stay 3 Nights or More,Hotels / Accommodation
2026-06-01,页面,Travel & Entertainment,Holidays & Hotels,Opodo,"Save £100s on flights, hotels & car rental",Flights
2026-06-01,页面,Travel & Entertainment,Holidays & Hotels,Hilton,The Hilton Summer Sale,Other
2026-06-01,页面,Travel & Entertainment,Transport,Swapfiets,£25 off your bike subscription,Other
2026-06-01,页面,Travel & Entertainment,Transport,OMIO,7% Off Travel for New Customers,Other
2026-06-01,页面,Travel & Entertainment,Transport,Omio,7% Off Travel for New Customers Exclusive,Other
2026-06-01,页面,Travel & Entertainment,Transport,National Express,Up to 20% Off Coach Bookings,Bus / Coach
2026-06-01,页面,Travel & Entertainment,Transport,Greyhound Australia,15% Discount,Bus / Coach
2026-06-01,页面,Travel & Entertainment,Days Out,The Dungeons,+ Madame Tussauds £35 Ticket Bundle,Tours & Tickets
2026-06-01,页面,Travel & Entertainment,Days Out,Madame Tussauds,+ The Dungeons £35 Ticket Bundle,Tours & Tickets
2026-06-01,页面,Travel & Entertainment,Days Out,Merlin Annual Pass,Ultimate annual passport from £99,Tours & Tickets
2026-06-01,页面,Travel & Entertainment,Days Out,Cineworld,2 Tickets for £13,Tours & Tickets
2026-06-01,页面,Travel & Entertainment,Events,Love to Visit,Extra 5% Off,Other
2026-06-01,页面,Travel & Entertainment,Events,Manchester City Football Club,Manchester City Stadium Tours From £18,Tours & Tickets
2026-06-01,页面,Travel & Entertainment,Events,Virgin Experience Days,Save on Merlin attractions & experiences,Tours & Tickets
2026-06-01,页面,Travel & Entertainment,Streaming Services,Apple Music,Get 1 month free,Other
2026-06-01,页面,Travel & Entertainment,Streaming Services,Apple Music,Only £5.99/month & free access to TV,Other
2026-06-01,页面,Travel & Entertainment,Streaming Services,Amazon Audible,30-day free trial,Other
2026-06-01,页面,Travel & Entertainment,Streaming Services,Channel 4,Your Free Month Trial Of Channel 4+,Other
2026-06-01,页面,Travel & Entertainment,Streaming Services,Prime Video,30 Day Free Trial of Prime Video Channels,Other
2026-06-01,页面,Travel & Entertainment,Streaming Services,Audible,Amazon Audible 30-day free trial,Other
2026-06-01,页面,Travel & Entertainment,Streaming Services,Audible,30-day free trial,Other
2026-06-01,页面,Travel & Entertainment,All Travel & Entertainment,Junkyard Golf Club,"50% Off Walk Ins At Leeds, Liverpool, Newcastle and Manchester",Other
2026-06-01,页面,Travel & Entertainment,All Travel & Entertainment,TrainPal,15% Off Trains For New Customers,UK & Europe Train Tickets
2026-06-01,页面,Travel & Entertainment,All Travel & Entertainment,Airbnb,10% Off your first Airbnb stay,Hotels / Accommodation
2026-06-01,页面,Travel & Entertainment,All Travel & Entertainment,TrainPal,15% Off Trains For New Customers 48 hours,UK & Europe Train Tickets
2026-06-01,页面,Travel & Entertainment,All Travel & Entertainment,Uber Rides,£10 Off your first ride with Uber,Other
2026-06-01,页面,Travel & Entertainment,All Travel & Entertainment,Wowcher,15% Off Student Discount,Other
2026-06-01,页面,Travel & Entertainment,All Travel & Entertainment,Uber Rides,£5 Off your first UberXL trip,Other
2026-06-01,页面,Travel & Entertainment,All Travel & Entertainment,Wowcher,15% Off Student Discount Exclusive,Other
2026-06-01,页面,Transport,Transport,TrainPal,15% Off Trains For New Customers,UK & Europe Train Tickets
2026-06-01,页面,Transport,Transport,Uber Rides,£10 Off your first ride with Uber,Other
2026-06-01,页面,Transport,Transport,Uber Rides,£5 Off your first UberXL trip,Other
2026-06-01,页面,Transport,Transport,TrainPal,15% Off Trains For New Customers 48 hours,UK & Europe Train Tickets
2026-06-01,页面,Transport,Transport,Uber Rides,£5 Off on First Train Ticket with Uber,UK & Europe Train Tickets
2026-06-01,页面,Transport,Transport,OMIO,7% Off Travel for New Customers,Other
2026-06-01,页面,Transport,Transport,Europcar,Flash Summer Sale - Up to 20% off,Other
2026-06-01,页面,Transport,Transport,Omio,7% Off Travel for New Customers Exclusive,Other
2026-06-01,页面,Transport,Transport,P&O Ferries,Day Trips to France from £60,Other
2026-06-01,页面,Transport,Transport,Europcar,Save up to 15% on your car hire,Car Rental
2026-06-01,页面,Transport,Transport,Halfords,20% Off Selected Camping And Outdoor Products,Other
2026-06-01,页面,Transport,Transport,Klook,Up to 15% Off Travel Deals,Other
2026-06-01,页面,Transport,Transport,Trip.com,15% Off Trains For New Customers,UK & Europe Train Tickets
2026-06-01,页面,Transport,Transport,Emirates,Up to 10% Off Economy and Business Class Flights,Flights
2026-06-01,页面,Transport,Transport,Trip.com,15% Off Trains For New Customers 29 days,UK & Europe Train Tickets
2026-06-01,页面,Transport,Transport,Qatar Airways,Fly to Formula 1® & save up to 12%*,Flights
2026-06-01,页面,Transport,Transport,Qatar Airways,Fly to MotoGP™ & Save up to 10%*,Flights
