date,source_type,page,section,brand,offer,product_type
2026-07-13,页面,Travel & Entertainment,,Hostelworld,"Get 7% off the World's Best Hostels ☀️🌍 From 16,500 hostels in 180 countries. Book with Hostelworld and experience the best of travel. Get now",Hotels / Accommodation
2026-07-13,页面,Travel & Entertainment,,Trip.com,New to Trip.com? Save 5% on UK trains now. Save on your first UK train booking with Trip.com. Get now,UK & Europe Train Tickets
2026-07-13,页面,Travel & Entertainment,,Hostelworld,Get 7% off the World's Best Hostels ☀️🌍,Hotels / Accommodation
2026-07-13,页面,Travel & Entertainment,,Trip.com,New to Trip.com? Save 5% on UK trains now.,UK & Europe Train Tickets
2026-07-13,页面,Travel & Entertainment,,From watch parties to bike rides,"save 7% on cycling, motoring and outdoor essentials.",Other
2026-07-13,页面,Travel & Entertainment,,Trip.com,Save on your first UK train booking with Trip.com.,UK & Europe Train Tickets
2026-07-13,页面,Travel & Entertainment,Holidays & Hotels,Expedia,Save up to 35% + Extra 12% Off Hotel Bookings,Hotels / Accommodation
2026-07-13,页面,Travel & Entertainment,Holidays & Hotels,Holiday Extras,Up to 40% Off Airport Parking,Hotels / Accommodation
2026-07-13,页面,Travel & Entertainment,Holidays & Hotels,Opodo,"Save up to £100s on flights, hotels & car rental",Flights
2026-07-13,页面,Travel & Entertainment,Holidays & Hotels,Alton Towers Resort,Up to 10% off short breaks at Alton Towers!,Tours & Tickets
2026-07-13,页面,Travel & Entertainment,Holidays & Hotels,Hotels.com,Save up to 35% + Extra 10% off,Hotels / Accommodation
2026-07-13,页面,Travel & Entertainment,Transport,Go City,5% Off New York Pass,Other
2026-07-13,页面,Travel & Entertainment,Transport,Halfords,Save up to £30.99 on Electric and Hybrid car servicing,Other
2026-07-13,页面,Travel & Entertainment,Transport,Virgin Atlantic,£30 Off Selected Manchester Routes,Flights
2026-07-13,页面,Travel & Entertainment,Transport,Virgin Atlantic,£30 Off Selected Manchester Routes 14 days,Flights
2026-07-13,页面,Travel & Entertainment,Transport,Budget Rent a Car,Score up to 10% off Budget USA & Canada summer '26 car hire,Car Rental
2026-07-13,页面,Travel & Entertainment,Transport,Klook,Up to 50% Off with Stay+,Hotels / Accommodation
2026-07-13,页面,Travel & Entertainment,Transport,Qatar Airways,Fly to Formula 1® & save up to 12%*,Flights
2026-07-13,页面,Travel & Entertainment,Transport,Qatar Airways,Fly to Formula 1® & save up to 12%* Exclusive,Flights
2026-07-13,页面,Travel & Entertainment,Days Out,Virgin Experience Days,20% Off Gifts for Couples,Other
2026-07-13,页面,Travel & Entertainment,Days Out,Team Sport,15% Discount,Other
2026-07-13,页面,Travel & Entertainment,Days Out,Warwick Castle,Up to 20% Off short breaks at Warwick Castle!,Other
2026-07-13,页面,Travel & Entertainment,Days Out,Blackpool Tower Eye,Student Tickets from £14,Tours & Tickets
2026-07-13,页面,Travel & Entertainment,Days Out,Merlin Annual Pass,Ultimate annual passport from £99,Tours & Tickets
2026-07-13,页面,Travel & Entertainment,Events,Cineworld,25% Off Unlimited Card,Other
2026-07-13,页面,Travel & Entertainment,Events,Cineworld,2 Tickets for £13,Tours & Tickets
2026-07-13,页面,Travel & Entertainment,Events,Love to Visit,Extra 5% Off,Other
2026-07-13,页面,Travel & Entertainment,Events,Manchester City Football Club,Manchester City Stadium Tours From £18,Tours & Tickets
2026-07-13,页面,Travel & Entertainment,Streaming Services,Apple Music,Get 1 month free,Other
2026-07-13,页面,Travel & Entertainment,Streaming Services,Apple Music,Only £5.99/month & free access to TV,Other
2026-07-13,页面,Travel & Entertainment,Streaming Services,Amazon Audible,30-day free trial,Other
2026-07-13,页面,Travel & Entertainment,Streaming Services,Prime Video,30 Day Free Trial of Prime Video Channels,Other
2026-07-13,页面,Travel & Entertainment,Streaming Services,Channel 4,Your Free Month Trial Of Channel 4+,Other
2026-07-13,页面,Travel & Entertainment,Streaming Services,Audible,Amazon Audible 30-day free trial,Other
2026-07-13,页面,Travel & Entertainment,Streaming Services,Audible,30-day free trial,Other
2026-07-13,页面,Travel & Entertainment,All Travel & Entertainment,Junkyard Golf Club,"50% Off Walk Ins At Leeds, Liverpool, Newcastle and Manchester",Other
2026-07-13,页面,Travel & Entertainment,All Travel & Entertainment,Airbnb,10% Off your first Airbnb stay,Hotels / Accommodation
2026-07-13,页面,Travel & Entertainment,All Travel & Entertainment,Uber Rides,£10 Off your first ride with Uber,Other
2026-07-13,页面,Travel & Entertainment,All Travel & Entertainment,Wowcher,15% Off Student Discount,Other
2026-07-13,页面,Travel & Entertainment,All Travel & Entertainment,Uber Rides,£5 Off your first UberXL trip,Other
2026-07-13,页面,Travel & Entertainment,All Travel & Entertainment,Uber Rides,£5 Off on First Train Ticket with Uber,UK & Europe Train Tickets
2026-07-13,页面,Travel & Entertainment,All Travel & Entertainment,Wowcher,15% Off Student Discount Exclusive,Other
2026-07-13,页面,Transport,Transport,Uber Rides,£10 Off your first ride with Uber,Other
2026-07-13,页面,Transport,Transport,Uber Rides,£5 Off your first UberXL trip,Other
2026-07-13,页面,Transport,Transport,Uber Rides,£5 Off on First Train Ticket with Uber,UK & Europe Train Tickets
2026-07-13,页面,Transport,Transport,Virgin Atlantic,£30 Off Selected Manchester Routes,Flights
2026-07-13,页面,Transport,Transport,Budget Rent a Car,Score up to 10% off Budget USA & Canada summer '26 car hire,Car Rental
2026-07-13,页面,Transport,Transport,Trip.com,15% Off Trains For New Customers,UK & Europe Train Tickets
2026-07-13,页面,Transport,Transport,Virgin Atlantic,£30 Off Selected Manchester Routes 14 days,Flights
2026-07-13,页面,Transport,Transport,Europcar,Save up to 20% on Italy Car Rentals,Car Rental
