date,source_type,page,section,brand,offer,product_type
2026-06-19,页面,首页,THE SUMMER EDIT ☀️,Download on the App Store,Get the free app!,Other
2026-06-19,页面,Travel & Entertainment,,TrainPal,20% off trains for new TrainPal users 💸🚆 Get 20% off if you're a new TrainPal customer and save up to £10 on your next train. Get now,UK & Europe Train Tickets
2026-06-19,页面,Travel & Entertainment,,Trip.com,£8 Off Railcards for New Trip.com Users 🚆💸 Never used Trip.com before? Save 1/3 of your rail travel with a Railcard + get £8 off. Get now,Railcard
2026-06-19,页面,Travel & Entertainment,,TrainPal,20% off trains for new TrainPal users 💸🚆,UK & Europe Train Tickets
2026-06-19,页面,Travel & Entertainment,,Trip.com,£8 Off Railcards for New Trip.com Users 🚆💸,Railcard
2026-06-19,页面,Travel & Entertainment,,TrainPal,Get 20% off if you're a new TrainPal customer and save up to £10 on your next train.,UK & Europe Train Tickets
2026-06-19,页面,Travel & Entertainment,,From watch parties to bike rides,"save 7% on cycling, motoring and outdoor essentials.",Other
2026-06-19,页面,Travel & Entertainment,,Trip.com,Never used Trip.com before? Save 1/3 of your rail travel with a Railcard + get £8 off.,Railcard
2026-06-19,页面,Travel & Entertainment,,Whether he's into food,"football or fast cars, save 22% on experiences this Father's Day.",Other
2026-06-19,页面,Travel & Entertainment,Holidays & Hotels,Flexiroam,20% Off Travel Data Plans,Other
2026-06-19,页面,Travel & Entertainment,Holidays & Hotels,Hotels.com,Save up to 35% + Extra 10% off,Hotels / Accommodation
2026-06-19,页面,Travel & Entertainment,Holidays & Hotels,Expedia,Save up to 35% + Extra 10% off,Other
2026-06-19,页面,Travel & Entertainment,Holidays & Hotels,Airbnb,10% Off your first Airbnb stay,Hotels / Accommodation
2026-06-19,页面,Travel & Entertainment,Holidays & Hotels,Holiday Extras,Up to 40% Off Airport Parking,Hotels / Accommodation
2026-06-19,页面,Travel & Entertainment,Holidays & Hotels,Lastminute.com,£35 Off £199 Minimum Spend (Flight & Hotel Packages),Flights
2026-06-19,页面,Travel & Entertainment,Holidays & Hotels,Lastminute.com,£35 Off £199 Minimum Spend (Flight & Hotel Packages) Exclusive,Flights
2026-06-19,页面,Travel & Entertainment,Transport,Uber One,50% Off an Uber One membership,Other
2026-06-19,页面,Travel & Entertainment,Transport,TrainPal,Win a £200 TrainPal gift card! 🚆,UK & Europe Train Tickets
