date,source_type,page,section,brand,offer,product_type
2026-06-15,页面,首页,THE SUMMER EDIT ☀️,Download on the App Store,Get the free app!,Other
2026-06-15,页面,Travel & Entertainment,,Camp more,spend less this summer ⛺ Get 20% off selected camping gear plus 7% off motoring essentials at Halfords. Get now,Other
2026-06-15,页面,Travel & Entertainment,,From Bournemouth to Cornwall,get road-trip ready with 7% off Halfords summer savings.,Other
2026-06-15,页面,Travel & Entertainment,,Join 80,000+ students on Swapfiets & get €25 off your first bike subscription.,Other
2026-06-15,页面,Travel & Entertainment,,Trip.com,New to Trip.com? Save 5% on UK trains now. Save on your first UK train booking with Trip.com. Get now,UK & Europe Train Tickets
2026-06-15,页面,Travel & Entertainment,,Trip.com,New to Trip.com? Save 5% on UK trains now.,UK & Europe Train Tickets
2026-06-15,页面,Travel & Entertainment,,Shark,"Explore the ocean – Sea Life London tickets from £14 🌊 Discover marine life like never before, from sharks to tropical fish! Get now",Tours & Tickets
2026-06-15,页面,Travel & Entertainment,,Shark,Explore the ocean – Sea Life London tickets from £14 🌊,Tours & Tickets
2026-06-15,页面,Travel & Entertainment,,Chase forests,trails and sunsets this summer 🌲 Save 7% on cycling and motoring essentials for your next countryside escape. Get now,UK & Europe Train Tickets
2026-06-15,页面,Travel & Entertainment,,Trip.com,Save on your first UK train booking with Trip.com.,UK & Europe Train Tickets
2026-06-15,页面,Travel & Entertainment,Holidays & Hotels,Holafly,Unlimited global data + 12% off Holafly’s 12-Month eSIM Plans,eSIM / SIM
2026-06-15,页面,Travel & Entertainment,Holidays & Hotels,Flexiroam,20% Off Travel Data Plans,Other
2026-06-15,页面,Travel & Entertainment,Holidays & Hotels,LateRooms.com,Become A Member and Save Up To 15%,Other
2026-06-15,页面,Travel & Entertainment,Holidays & Hotels,Klook,20% off vietnam tours,Tours & Tickets
2026-06-15,页面,Travel & Entertainment,Holidays & Hotels,TruTravels,10% off your next trip!,Other
2026-06-15,页面,Travel & Entertainment,Holidays & Hotels,Trip.com,15% Off Trains For New Customers,UK & Europe Train Tickets
2026-06-15,页面,Travel & Entertainment,Holidays & Hotels,Klook,20% off vietnam tours 15 days,Tours & Tickets
2026-06-15,页面,Travel & Entertainment,Holidays & Hotels,Trip.com,15% Off Trains For New Customers 15 days,UK & Europe Train Tickets
2026-06-15,页面,Travel & Entertainment,Transport,Halfords,"20% off Selected Tools, Workshop And Garage Products",Other
2026-06-15,页面,Travel & Entertainment,Transport,Halfords,20% Off Selected Camping And Outdoor Products,Other
2026-06-15,页面,Travel & Entertainment,Transport,Swapfiets,£25 off your bike subscription,Other
2026-06-15,页面,Travel & Entertainment,Transport,Europcar,Save up to 15% on your car hire,Car Rental
2026-06-15,页面,Travel & Entertainment,Days Out,Virgin Experience Days,22% Off experiences and days out,Other
