date,source_type,page,section,brand,offer,product_type
2026-08-17,页面,首页,Don’t miss these trending student deals,ASOS,10% Student Discount,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,Unlimited Social VOXI Mobile,80 GB for £10 a month + 1 month FREE +,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,JD Sports,20% Student Discount,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,FlixBus,20% Student Discount,Bus / Coach
2026-08-17,页面,首页,Don’t miss these trending student deals,Superdrug,Only on 10% Student Discount,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,on Fragrance Sephora,15% Student Discount + Beauty Bag Worth £115 WYS £120,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,ODEON,Only on 20% Student Discount,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,PrettyLittleThing,25%-75% off almost everything + Extra 12% Student Discount,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,Dunelm,10% off when you spend over £60*,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,IKEA,Only on £20 off when spending £150,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,National Express,Up to 20% Student Discount,Bus / Coach
2026-08-17,页面,首页,Don’t miss these trending student deals,in SHEIN App SHEIN,15% Student Discount,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,adidas,15% Student Discount,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,Everyday Domino's,Buy One Get One Free,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,IKEA,Only on £10 off when spending £75,Other
2026-08-17,页面,首页,Don’t miss these trending student deals,total basket Popeyes,20% off,Other
2026-08-17,页面,首页,The discounts you won’t want to miss,Starter Reward First Portfolio,Only on £20,Other
2026-08-17,页面,首页,The discounts you won’t want to miss,selected Windows Laptops Argos,Ends in 23 days £50 off,Other
2026-08-17,页面,首页,The discounts you won’t want to miss,musicMagpie,10% Student Discount,Other
2026-08-17,页面,首页,The discounts you won’t want to miss,Audible,Ends in 7 days £0.99/month for the first 3 months,Other
2026-08-17,页面,首页,The discounts you won’t want to miss,Hotels.com,10% Student Discount,Hotels / Accommodation
2026-08-17,页面,首页,The discounts you won’t want to miss,your SIM EE,40% Student Discount off,eSIM / SIM
2026-08-17,页面,首页,The discounts you won’t want to miss,four year tastecard NatWest,£100 and a free,Other
2026-08-17,页面,首页,The discounts you won’t want to miss,Currys,£100 off selected Windows Laptops over £799,Other
2026-08-17,页面,首页,The discounts you won’t want to miss,THE OUTNET,15% Student Discount,Other
2026-08-17,页面,首页,The discounts you won’t want to miss,Wrangler,20% Student Discount,Other
2026-08-17,页面,首页,Find the latest and greatest drops every day,Crocs,25% Student Discount,Other
2026-08-17,页面,首页,Find the latest and greatest drops every day,with selected Boux Avenue,Ends in 23 days Free Knicker,Other
