date,source_type,page,section,brand,offer,product_type
2026-06-09,页面,首页,Student deals of the day,loveholidays,Up to £600 off selected long-haul holidays + £50 Student Discount loveholidays,Hotels / Accommodation
2026-06-09,页面,首页,Don’t miss these trending student deals,Gymshark,12% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,Dore & Rose,Only on 15% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,ASOS,10% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,FlixBus,20% Student Discount,Bus / Coach
2026-06-09,页面,首页,Don’t miss these trending student deals,spend Deliveroo,Ends in 12 days £15 off £20,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,PrettyLittleThing,At least 20% off everything + Extra 12% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,Pizzas Papa Johns,Was 35% Student Discount off Pizzas 50% Student Discount off,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,JD Sports,10% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,Superdrug,Only on 10% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,Online SHEIN,15% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,ODEON,Only on 20% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,Sephora,15% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,boohoo,Up to 30% off + Extra 16% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,National Express,Up to 20% Student Discount,Bus / Coach
2026-06-09,页面,首页,Don’t miss these trending student deals,6 months PureGym,Ends in 12 days Up to 30% off,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,adidas,15% Student Discount,Other
2026-06-09,页面,首页,Don’t miss these trending student deals,Domino's Pizza,Buy One Get One Free,Other
2026-06-09,页面,首页,The discounts you won’t want to miss,Huel,15% Student Discount,Other
2026-06-09,页面,首页,The discounts you won’t want to miss,WHOOP Peak memberships WHOOP,10% Student Discount on,Other
2026-06-09,页面,首页,The discounts you won’t want to miss,TALA,10% Student Discount,Other
2026-06-09,页面,首页,The discounts you won’t want to miss,on Selected Shorts adidas,15% Student Discount,Other
2026-06-09,页面,首页,The discounts you won’t want to miss,loveholidays,Up to £600 off selected long-haul holidays + £50 Student Discount,Hotels / Accommodation
2026-06-09,页面,首页,Find the latest and greatest drops every day,on discounted items Acer,Extra 5% Student Discount,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,Sephora,Ends in 20 days Up to 25% off in Sephora's Summer Sale,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,La Redoute,Ends in 15 days Up to 50% off + Extra 11% off,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,Crossbody Lanyard (Black) Shark,Ends in 21 days Free ChillPill,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,& Accessories Mainline Menswear,"Ends in 12 days 15% Off Full Priced HUGO & BOSS Clothing, Footwear",Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,even more brands LOOKFANTASTIC,Ends tomorrow 25% off,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,Price Virgin Balloon Flights,Additional £10 Off Per Voucher’s Promotional,Flights
2026-06-09,页面,首页,Find the latest and greatest drops every day,Sitewide Spotlight Oral Care,Ends in 6 days Exclusive Father's Day Offer - 30% off,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,Trending Picks Amazon Haul,Ends in 5 days 30% off,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,Hotels.com,Ends in 2 days 12% Student Discount,Hotels / Accommodation
2026-06-09,页面,首页,Find the latest and greatest drops every day,Vans,10% Student Discount,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,Oakley,Ends in 5 days Was 20% Student Discount 25% Student Discount,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,Panda London,Ends in 12 days 14% Student Discount,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,Charles Tyrwhitt,15% Student Discount,Other
2026-06-09,页面,首页,Find the latest and greatest drops every day,Day Cards Funky Pigeon,Only on Ends in 9 days 35% Off Father's,Other
2026-06-09,页面,首页,Unlock the best student discounts on the ultimate adventures.,Alton Towers Resort,Ends in 21 days Student tickets from £21 for June only,Tours & Tickets
2026-06-09,页面,首页,Unlock the best student discounts on the ultimate adventures.,Alton Towers Resort,Up to £40 off the Merlin Annual pass for students,Tours & Tickets
