date,source_type,page,section,brand,offer,product_type
2026-08-20,页面,首页,Student deals of the day,Audible,£0.99/month for the first 3 months Audible,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,ASOS,10% Student Discount,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,Currys,£100 off selected Windows Laptops over £799,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,JD Sports,10% Student Discount,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,PrettyLittleThing,25%-75% off almost everything + Extra 12% Student Discount,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,FlixBus,20% Student Discount,Bus / Coach
2026-08-20,页面,首页,Don’t miss these trending student deals,Superdrug,Only on 10% Student Discount,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,Online SHEIN,15% Student Discount,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,minimum spend Deliveroo,Ends in 10 days £15 off £20,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,on Selected LOOKFANTASTIC,Ends today 25% Student Discount,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,Dunelm,10% off when you spend over £60*,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,Sephora,Ends in 2 days Was 15% Student Discount 20% Student Discount,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,ODEON,Only on 20% Student Discount,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,National Express,Up to 20% Student Discount,Bus / Coach
2026-08-20,页面,首页,Don’t miss these trending student deals,boohoo,Up to 70% off end of season sale + Extra 20% Student Discount,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,IKEA,Only on £20 off when spending £150,Other
2026-08-20,页面,首页,Don’t miss these trending student deals,Amazon,6 months free Prime for Students,Other
2026-08-20,页面,首页,The discounts you won’t want to miss,Starter Reward First Portfolio,Only on £20,Other
2026-08-20,页面,首页,The discounts you won’t want to miss,four year tastecard NatWest,£100 and a free,Other
2026-08-20,页面,首页,The discounts you won’t want to miss,Audible,Ends in 4 days £0.99/month for the first 3 months,Other
2026-08-20,页面,首页,The discounts you won’t want to miss,adidas,15% Student Discount,Other
2026-08-20,页面,首页,The discounts you won’t want to miss,3D Printers Bambu Lab,10% Student Discount on P2 Series,Other
2026-08-20,页面,首页,The discounts you won’t want to miss,Card EE Home Broadband,Only on 12-months from £27.99 a month + Up to £70 Reward,Other
2026-08-20,页面,首页,The discounts you won’t want to miss,Cotton On,20% Student Discount,Other
2026-08-20,页面,首页,The discounts you won’t want to miss,Hotels.com,10% Student Discount,Hotels / Accommodation
2026-08-20,页面,首页,The discounts you won’t want to miss,Wrangler,20% Student Discount,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,Weekday,25% off jeans and basics + Extra 11% Student Discount,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,TrainPal,Ends in 11 days £8 off min spend £20 for UK Train New Users,UK & Europe Train Tickets
2026-08-20,页面,首页,Find the latest and greatest drops every day,adidas,Ends in 6 days Up to 25% off + Extra 10% Student Discount,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,BOOHOOMAN,Extra 20% Student Discount,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,Selected Lines COS,Ends in 3 days 40% Off,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,Face the Future,Was 10% Student Discount 15% Student Discount,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,Ninja Products Ninja Kitchen,Ends in 5 days 10% off selected,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,| Watch Ultra2* Samsung,Ends in 12 days 15% off Galaxy Watch9,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,La Redoute,Ends in 18 days Up to 50% off everything + Extra 11% off,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,Items Princess Polly,Ends in 4 days Was Students Get Extra 5% off Sale Extra 10% off Sale,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,Beauty Kits Charlotte Tilbury,Ends in 4 days Up to 45% Off ICONIC,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,Spies London Theatre Direct,Students get exclusive tickets from £17.25 for The Comedy About,Tours & Tickets
2026-08-20,页面,首页,Find the latest and greatest drops every day,on Everything Under Armour,Ends in 21 days 15% Student Discount,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,Trip.com,Ends in 11 days 25% off Railcard,Railcard
2026-08-20,页面,首页,Find the latest and greatest drops every day,on OpenDots Air Shokz,Ends in 10 days 15% Student Discount,Other
2026-08-20,页面,首页,Find the latest and greatest drops every day,Selected Fashion Lines Matalan,Ends in 11 days 20% off,Other
2026-08-20,页面,首页,$7/month for 4 months of STAT News,Railcard,25% off Railcard,Railcard
2026-08-20,页面,首页,"Out-of-this-world fits, down-to-earth prices. Your new style era starts here.",than RRP TK Maxx,Up to 60% less,Other
2026-08-20,页面,首页,"Out-of-this-world fits, down-to-earth prices. Your new style era starts here.",Foot Locker,Up to 50% off + Extra 10% Student Discount,Other
