date,source_type,page,section,brand,offer,product_type
2026-07-28,页面,首页,Don’t miss these trending student deals,ASOS,Up to 60% off + Extra 10% Student Discount,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,JD Sports,20% Student Discount,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,PrettyLittleThing,25%-75% off almost everything + Extra 8% Student Discount,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,ODEON,Only on 20% Student Discount,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,FlixBus,20% Student Discount,Bus / Coach
2026-07-28,页面,首页,Don’t miss these trending student deals,Superdrug,Only on 10% Student Discount,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,MOV Deliveroo,Ends in 19 days £15 off £20,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,in SHEIN App SHEIN,15% Student Discount,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,adidas,15% Student Discount,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,Sephora,15% Student Discount,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,National Express,Up to 20% Student Discount,Bus / Coach
2026-07-28,页面,首页,Don’t miss these trending student deals,Dunelm,10% off when you spend over £60*,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,TrainPal,Up to 10% off train fares,UK & Europe Train Tickets
2026-07-28,页面,首页,Don’t miss these trending student deals,New Balance,Ends in 5 days Extra 40% Student Discount Off Sale,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,boohoo,Up to 70% off end of season sale + Extra 20% Student Discount,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,Amazon,6 months free Prime for Students,Other
2026-07-28,页面,首页,Don’t miss these trending student deals,Hollister,10% Student Discount,Other
2026-07-28,页面,首页,The discounts you won’t want to miss,period Gousto,55% Student Discount on your first box 30% off next 3 boxes + 10% off for the rest of the 12 month discount,Other
2026-07-28,页面,首页,The discounts you won’t want to miss,checkout with paypal Samsung,Ends today Pre-order Galaxy Z Fold8 Ultra | Fold8 15% off + FREE Buds4 Pro +£100 off when you,Other
2026-07-28,页面,首页,The discounts you won’t want to miss,COS,15% Student Discount,Other
2026-07-28,页面,首页,The discounts you won’t want to miss,per booking TUI,£50 Student Discount,Hotels / Accommodation
2026-07-28,页面,首页,The discounts you won’t want to miss,P.Louise,15% Student Discount,Other
2026-07-28,页面,首页,The discounts you won’t want to miss,on Sage Accounting Sage,Only on 6 months free,Other
