date,source_type,page,section,brand,offer,product_type
2026-09-10,页面,首页,Don’t miss these trending student deals,Uber,£10 Student Discount on your first ride,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,ASOS,10% Student Discount,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,PrettyLittleThing,At least 25% off almost everything + Extra 12% Student Discount,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,minimum spend Deliveroo,Ends in 20 days £15 off £20,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,Superdrug,Only on 10% Student Discount,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,FlixBus,20% Student Discount,Bus / Coach
2026-09-10,页面,首页,Don’t miss these trending student deals,three orders Just Eat,Ends in 20 days £10 off your first,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,IKEA,Only on £20 off when spending £150,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,JD Sports,10% Student Discount,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,JD Sports,Up to 50% off Sale,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,Amazon,6 months free Prime for Students,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,Sephora,Ends today Was 15% Student Discount 20% Student Discount,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,Dunelm,10% off when you spend over £60*,Other
2026-09-10,页面,首页,Don’t miss these trending student deals,Online SHEIN,15% Student Discount,Other
2026-09-10,页面,首页,The discounts you won’t want to miss,for New Customers iHerb,Only on 22% Student Discount,Other
2026-09-10,页面,首页,The discounts you won’t want to miss,Card EE Home Broadband,Ends in 28 days 24-months from £22.99 a month + Up to £70 Reward,Other
2026-09-10,页面,首页,The discounts you won’t want to miss,Crocs,25% Student Discount,Other
2026-09-10,页面,首页,The discounts you won’t want to miss,McAfee,1 Year subscription for just £34.99,Other
2026-09-10,页面,首页,The discounts you won’t want to miss,The Fragrance Shop,Up to 20% off Dior + Extra 10% Student Discount,Other
2026-09-10,页面,首页,The discounts you won’t want to miss,Foot Locker,20% Student Discount,Other
2026-09-10,页面,首页,The discounts you won’t want to miss,Cameras & Lenses Canon,15% off Refurbished,Other
2026-09-10,页面,首页,The discounts you won’t want to miss,selected HP Printers Currys,Up to 30% off on,Other
2026-09-10,页面,首页,Find the latest and greatest drops every day,in any condition*** Samsung,Ends in 4 days 15% off Galaxy S26 Ultra* plus FREE Buds4 Pro with code** + at least £150 off when you trade in any smartphone,Other
2026-09-10,页面,首页,Find the latest and greatest drops every day,6 months PureGym,Ends in 3 days Up to 30% off,Other
2026-09-10,页面,首页,Find the latest and greatest drops every day,Saver The Gym Group,Was 25% Off 9 Month Student Saver 30% Off 9 Month Student,Railcard
2026-09-10,页面,首页,Find the latest and greatest drops every day,ARKET,Ends in 3 days 20% Off £75 spend + Extra 14% Student Discount,Other
2026-09-10,页面,首页,Find the latest and greatest drops every day,G-STAR,Ends in 3 days 20% Off,Other
2026-09-10,页面,首页,Find the latest and greatest drops every day,Westwing Collection Westwing,Ends in 3 days Up to 50% Off + Extra 5% Off,Other
2026-09-10,页面,首页,Find the latest and greatest drops every day,on airtime EE,Only on Pre Order New iPhone + 40% Student Discount,Other
2026-09-10,页面,首页,Find the latest and greatest drops every day,tickets SEA LIFE Manchester,50% off kids,Tours & Tickets
2026-09-10,页面,首页,Find the latest and greatest drops every day,tickets SEA LIFE Brighton,50% off kids,Tours & Tickets
