date,source_type,page,section,brand,offer,product_type
2026-06-14,页面,首页,The best student discounts from your favourite shops,Amazon,"save, get packing",Other
2026-06-14,页面,首页,Don’t miss these trending student deals,Standard with Ads Disney+,Disney+ for £3.99/month for 4 months on,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,Fused,£50 cashback,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,ASOS,10% Student Discount,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,JD Sports,10% Student Discount,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,FlixBus,20% Student Discount,Bus / Coach
2026-06-14,页面,首页,Don’t miss these trending student deals,PrettyLittleThing,At least 20% off everything + Extra 12% Student Discount,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,spend Deliveroo,Ends in 7 days £15 off £20,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,Superdrug,Only on 10% Student Discount,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,National Express,Up to 20% Student Discount,Bus / Coach
2026-06-14,页面,首页,Don’t miss these trending student deals,Domino's Pizza,Buy One Get One Free,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,ODEON,Only on 20% Student Discount,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,boohoo,Up to 30% off + Extra 16% Student Discount,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,Online SHEIN,15% Student Discount,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,Sephora,15% Student Discount,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,adidas,15% Student Discount,Other
2026-06-14,页面,首页,Don’t miss these trending student deals,total basket Popeyes,20% off,Other
2026-06-14,页面,首页,The discounts you won’t want to miss,musicMagpie,10% Student Discount,Other
2026-06-14,页面,首页,The discounts you won’t want to miss,Bluebella,15% Student Discount,Other
2026-06-14,页面,首页,The discounts you won’t want to miss,Audible,£0.99/month for the first 3 months,Other
2026-06-14,页面,首页,The discounts you won’t want to miss,The Body Shop,10% Student Discount,Other
2026-06-14,页面,首页,The discounts you won’t want to miss,FitFlop,15% Student Discount,Other
2026-06-14,页面,首页,The discounts you won’t want to miss,Aspinal of London,20% Student Discount,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Sitewide New Look,Ends tomorrow 20% Student Discount,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Spotlight Oral Care,Ends in 7 days Exclusive Extra 15% off the 40% Mid Month Sale,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Selected LOOKFANTASTIC,Ends tomorrow 22% Student Discount off,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Footpatrol,Ends in 3 days Up to 50% Off,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,HIP,Ends in 3 days Up to 65% off,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Impact Whey Protein Myprotein,15% Student Discount on BOUNTY®,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,a month Virgin Media,M125 student broadband from £26,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,size?,Ends in 3 days Up to 50% off,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Loop Earplugs,20% off over £69,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Price Items Tommy Hilfiger,10% Student Discount on Full,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Outlet Wild,Up to 50% off,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Lovehoney,Ends tomorrow Spend £40 and get a Free Toy worth £69.99,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,10 Pro Google Store,Ends in 16 days £250 Off Pixel,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,monitors with code Samsung,"Ends in 16 days Save up to 20% off selected monitors! Plus, Get 10% off selected",Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,Princess Polly,Ends today Was 15% Student Discount 25% Student Discount,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,on selected Stylers Shark,Ends in 9 days Up to £80,Other
2026-06-14,页面,首页,Find the latest and greatest drops every day,on return flights* TUI,£40pp off,Flights
2026-06-14,页面,首页,Gifts he'll rate & prices you’ll love.,ALL cards Funky Pigeon,Only on 35% Student Discount on,Other
2026-06-14,页面,首页,Gifts he'll rate & prices you’ll love.,Amazon,Ends in 8 days Amazon Prime Day is coming: 6 months free for students,Other
2026-06-14,页面,首页,Gifts he'll rate & prices you’ll love.,Matalan,10% Student Discount,Other
2026-06-14,页面,首页,Gifts he'll rate & prices you’ll love.,Tickets* ATG Entertainment,£25 Student,Tours & Tickets
2026-06-14,页面,首页,Gifts he'll rate & prices you’ll love.,Alton Towers Resort,Ends in 16 days Student tickets from £21 for June only,Tours & Tickets
2026-06-14,页面,首页,Gifts he'll rate & prices you’ll love.,schuh,10% Student Discount,Other
2026-06-14,页面,首页,Gifts he'll rate & prices you’ll love.,Charles Tyrwhitt,15% Student Discount,Other
2026-06-14,页面,首页,Gifts he'll rate & prices you’ll love.,Booking.com,Save 15% or more on stays Booking.com For anyone to use Online Travel,Hotels / Accommodation
2026-06-14,页面,首页,Gifts he'll rate & prices you’ll love.,Boots,10% Student Discount,Other
2026-06-14,页面,首页,Buy a new iPad Pro with education savings,Amazon Prime,Day is coming: 6 months free for students,Other
2026-06-14,页面,首页,"Match-day plans? Sorted. Save on merch, pub trips, snacks + more.",Uber,20% off selected takeaways Uber Eats For anyone to use Online Takeaway & Fast Food,Other
2026-06-14,页面,首页,"Match-day plans? Sorted. Save on merch, pub trips, snacks + more.",New Balance,10% Student Discount,Other
2026-06-14,页面,首页,"Match-day plans? Sorted. Save on merch, pub trips, snacks + more.",in Leeds Just Eat,Ends in 7 days £10 off when you spend £20 & free late-night delivery for users,Other
